kept_index,removed_index,similarity,kept_title,removed_title,kept_text,removed_text
30,4833,0.9842,"Taylor Swift Donates $100,000 to Family of Kansas City Chiefs Parade Shooting Victim","Taylor Swift, Travis Kelce Each Donate $100,000 to Kansas City Shooting Victims","Taylor Swift has donated $100,000 to the family of the woman who was fatally shot at the Kansas City Chiefs’ Super Bowl parade on Wednesday, a representative for the pop singer told Variety. Friday morning, two $50,000 donations in the singer’s name...","Taylor Swift donated $100,000 to the family of the woman who was fatally shot at the Kansas City Chiefs’ Super Bowl parade on Wednesday, a representative for the pop singer told Variety. Friday morning, two $50,000 donations in the singer’s name app..."
30,6970,0.9891,"Taylor Swift Donates $100,000 to Family of Kansas City Chiefs Parade Shooting Victim","Taylor Swift, Travis Kelce Donate to Kansas Shooting Victims","Taylor Swift has donated $100,000 to the family of the woman who was fatally shot at the Kansas City Chiefs’ Super Bowl parade on Wednesday, a representative for the pop singer told Variety. Friday morning, two $50,000 donations in the singer’s name...","T aylor Swift donated $100,000 to the family of the woman who was fatally shot at the Kansas City Chiefs’ Super Bowl parade on Wednesday, a representative for the pop singer told Variety. Friday morning, two $50,000 donations in the singer’s name ap..."
31,8396,1.0,Dad who went to Kansas City Chiefs parade with daughters recounts tackling man with gun: ‘I took him down',Dad who tackled man with gun at Kansas City Chiefs parade speaks out,A father who attended the Kansas City Chiefs' Super Bowl victory parade with his three daughters in downtown Kansas City is recounting the moment he helped contain a man armed with a gun at the event where thousands of Chiefs fans were celebrating. ...,A father who attended the Kansas City Chiefs’ Super Bowl victory parade with his three daughters in downtown Kansas City is recounting the moment he helped contain a man armed with a gun at the event where thousands of Chiefs fans were celebrating. ...
32,3378,0.9922,"Taylor Swift Donates $100,000 to Super Bowl Parade Shooting Victim’s Family: ‘My Deepest Sympathies’","Taylor Swift Donates $100,000 to Super Bowl Parade Shooting Victim’s Family: ‘My Deepest Sympathies’","Lisa Lopez-Galvan was one of the dozens of victims from the Kansas City Super Bowl parade shooting, and she died from fatal injuries. A GoFundMe page was created to assist her family with “financial support,” according to its description, and Taylor ...","Lisa Lopez-Galvan was one of the dozens of victims from the Kansas City Super Bowl parade shooting, and she died from fatal injuries. A GoFundMe page was created to assist her family with “financial support,” according to its description, and donated..."
36,7799,1.0,Newzspy Page 1785,How the world's top sustainable companies continue to outperform their fossil fuel peers,"Chiefs parade: Who was Lisa Lopez-Galvan, radio DJ killed during shooting? – WOKV","Chiefs parade: Who was Lisa Lopez-Galvan, radio DJ killed during shooting?"
42,139,1.0,Things to know about the shooting at the Kansas City Chiefs' Super Bowl celebration,Things to know about the shooting at the Kansas City Chiefs' Super Bowl celebration,Shots rang out at the end of the outside the city’s historic Union Station. Fans had lined the parade route and some even climbed trees and street poles or stood on rooftops to watch as players passed by on double-decker buses. The team said all play...,Shots rang out at the end of the outside the city's historic Union Station. Fans had lined the parade route and some even climbed trees and street poles or stood on rooftops to watch as players passed by on double-decker buses. The team said all play...
42,2835,0.9576,Things to know about the shooting at the Kansas City Chiefs' Super Bowl celebration,Things to know about the shooting at the Kansas City Chiefs' Super Bowl celebration,Shots rang out at the end of the outside the city’s historic Union Station. Fans had lined the parade route and some even climbed trees and street poles or stood on rooftops to watch as players passed by on double-decker buses. The team said all play...,Shots rang out at the end of the outside the city’s historic Union Station. Fans had lined the parade route and some even climbed trees and street poles or stood on rooftops to watch as players passed by on double-decker buses. The team said all pla...
44,1426,1.0,2 men are charged with murder in the deadly shooting at Kansas City’s Super Bowl celebration,Murder charges filed in Chiefs rally gunfire,"KANSAS CITY, Mo. — Two men charged with murder in last week’s shooting after the Kansas City Chiefs’ Super Bowl parade were strangers who pulled out guns and began firing within seconds of starting an argument, according to court documents released T...","KANSAS CITY, Mo. -- Two men charged with murder in last week's shooting after the Kansas City Chiefs' Super Bowl parade were strangers who pulled out guns and began firing within seconds of starting an argument, according to court documents released ..."
44,4872,0.9731,2 men are charged with murder in the deadly shooting at Kansas City’s Super Bowl celebration,Two men charged with murder in deadly shooting at Kansas City’s Super Bowl celebration,"KANSAS CITY, Mo. — Two men charged with murder in last week’s shooting after the Kansas City Chiefs’ Super Bowl parade were strangers who pulled out guns and began firing within seconds of starting an argument, according to court documents released T...","KANSAS CITY, Mo.: Two men charged with murder in last week’s shooting after the Kansas City Chiefs’ Super Bowl parade were strangers who pulled out guns and began firing within seconds of starting an argument, according to court documents released Tu..."
44,5557,1.0,2 men are charged with murder in the deadly shooting at Kansas City’s Super Bowl celebration,Kansas City shooting: 2 men charged with murder,"KANSAS CITY, Mo. — Two men charged with murder in last week’s shooting after the Kansas City Chiefs’ Super Bowl parade were strangers who pulled out guns and began firing within seconds of starting an argument, according to court documents released T...","KANSAS CITY, Mo. – Two men charged with murder in last week’s shooting after the Kansas City Chiefs’ Super Bowl parade were strangers who pulled out guns and began firing within seconds of starting an argument, according to court documents released ..."
44,6373,1.0,2 men are charged with murder in the deadly shooting at Kansas City’s Super Bowl celebration,2 men are charged with murder in the deadly shooting at Kansas City's Super Bowl celebration,"KANSAS CITY, Mo. — Two men charged with murder in last week’s shooting after the Kansas City Chiefs’ Super Bowl parade were strangers who pulled out guns and began firing within seconds of starting an argument, according to court documents released T...","KANSAS CITY, Mo. — Two men charged with murder in last week's shooting after the Kansas City Chiefs' Super Bowl parade were strangers who pulled out guns and began firing within seconds of starting an argument, according to court documents released T..."
44,6588,1.0,2 men are charged with murder in the deadly shooting at Kansas City’s Super Bowl celebration,Two men are charged with murder in the deadly shooting at Kansas City's Super Bowl celebration,"KANSAS CITY, Mo. — Two men charged with murder in last week’s shooting after the Kansas City Chiefs’ Super Bowl parade were strangers who pulled out guns and began firing within seconds of starting an argument, according to court documents released T...","KANSAS CITY, Mo. — Two men charged with murder in last week's shooting after the Kansas City Chiefs’ Super Bowl parade were strangers who pulled out guns and began firing within seconds of starting an argument, according to court documents released ..."
44,6676,1.0,2 men are charged with murder in the deadly shooting at Kansas City’s Super Bowl celebration,Kansas City shooting: 2 men charged with murder,"KANSAS CITY, Mo. — Two men charged with murder in last week’s shooting after the Kansas City Chiefs’ Super Bowl parade were strangers who pulled out guns and began firing within seconds of starting an argument, according to court documents released T...","KANSAS CITY, Mo. - Two men charged with murder in last week's shooting after the Kansas City Chiefs' Super Bowl parade were strangers who pulled out guns and began firing within seconds of starting an argument, according to court documents released ..."
44,7005,1.0,2 men are charged with murder in the deadly shooting at Kansas City’s Super Bowl celebration,2 charged with murder in Super Bowl parade shooting,"KANSAS CITY, Mo. — Two men charged with murder in last week’s shooting after the Kansas City Chiefs’ Super Bowl parade were strangers who pulled out guns and began firing within seconds of starting an argument, according to court documents released T...","Kansas City, Mo. — Two men charged with murder in last week’s shooting after the Kansas City Chiefs’ Super Bowl parade were strangers who pulled out guns and began firing within seconds of starting an argument, according to court documents released T..."
48,7873,0.9507,"Taylor Swift Donates $100,000 After Super Bowl Parade Shooting: 'My Deepest Sympathies'","Taylor Swift Donates $100,000 After Super Bowl Parade Shooting: 'My Deepest Sympathies'","Taylor Swift donated $100,000 this week to the family of Lisa Lopez-Galvan, who died Wednesday in the shooting at a parade celebrating the Kansas City Chiefs’ Super Bowl win. The shooting left at least 22 others injured from gunshot wounds. “Sending...","Taylor Swift donated $100,000 this week to the family of Lisa Lopez-Galvan, who died Wednesday in the shooting at a parade celebrating the Kansas City Chiefs’ Super Bowl win. The shooting left at least 22 others injured from gunshot wounds."
49,3983,1.0,2 adults are charged with murder in the deadly shooting at Kansas City’s Super Bowl celebration | WCVQ-FM,2 adults are charged with murder in the deadly shooting at Kansas City's Super Bowl celebration,"FILE - Law enforcement personnel clear the area around Union Station following a shooting at the Kansas City Chiefs NFL football Super Bowl celebration in Kansas City, Mo., Wednesday, Feb. 14, 2024. Missouri prosecutors said Tuesday, Feb. 20, that tw...","FILE – Law enforcement personnel clear the area around Union Station following a shooting at the Kansas City Chiefs NFL football Super Bowl celebration in Kansas City, Mo., Wednesday, Feb. 14, 2024. Missouri prosecutors said Tuesday, Feb. 20, that tw..."
51,2087,1.0,2 juveniles charged in mass shooting at the Kansas City Chiefs Super Bowl parade,2 juveniles charged in mass shooting at the Kansas City Chiefs Super Bowl parade,"KANSAS CITY, Mo. (AP) — Two juveniles were charged with crimes connected to the mass shooting at the Kansas City Chiefs’ Super Bowl rally, authorities said Friday, as the city tries to recover in the aftermath of the violence. A news release from th...","KANSAS CITY, Mo. (AP) — Two juveniles were charged with crimes connected to the mass shooting at the Kansas City Chiefs' Super Bowl rally, authorities said Friday, as the city tries to recover in the aftermath of the violence. A news release from th..."
51,8354,1.0,2 juveniles charged in mass shooting at the Kansas City Chiefs Super Bowl parade,2 juveniles charged in mass shooting at the Kansas City Chiefs Super Bowl parade,"KANSAS CITY, Mo. (AP) — Two juveniles were charged with crimes connected to the mass shooting at the Kansas City Chiefs’ Super Bowl rally, authorities said Friday, as the city tries to recover in the aftermath of the violence. A news release from th...","KANSAS CITY, Mo. (AP) - Two juveniles were charged with crimes connected to the mass shooting at the Kansas City Chiefs' Super Bowl rally, authorities said Friday, as the city tries to recover in the aftermath of the violence. A news release from th..."
59,1783,0.9784,What’s the latest in the investigation of the shooting at the Kansas City Chiefs’ Super Bowl parade? - WSVN 7News,What's the latest in the investigation of the shooting at the Kansas City Chiefs' Super Bowl parade?,"KANSAS CITY, Mo. (AP) — Authorities have charged two men with murder in a shooting during a Kansas City Chiefs Super Bowl victory celebration that left one person dead and roughly two dozen others injured. The arrests came after police announced Fri...","KANSAS CITY, Mo. (AP) — Authorities have charged two men with murder in a shooting during a Kansas City Chiefs Super Bowl victory celebration that left one person dead and roughly two dozen others injured. The arrests came after police announced F..."
59,4962,0.9505,What’s the latest in the investigation of the shooting at the Kansas City Chiefs’ Super Bowl parade? - WSVN 7News,What's the latest in the investigation of the shooting at the Kansas City Chiefs' Super Bowl parade?,"KANSAS CITY, Mo. (AP) — Authorities have charged two men with murder in a shooting during a Kansas City Chiefs Super Bowl victory celebration that left one person dead and roughly two dozen others injured. The arrests came after police announced Fri...","KANSAS CITY, Mo. (AP) — Authorities have charged two men with murder in a shooting during a Kansas City Chiefs Super Bowl victory celebration that left one person dead and roughly two dozen others injured. The arrests came after police announced Frid..."
71,219,0.9915,Chiefs’ Harrison Butker provides jersey to family of Super Bowl parade shooting victim,Kansas City Chiefs parade suspects charged in deadly Super Bowl victory parade shooting,"Join Fox News for access to this content Plus get unlimited access to thousands of articles, videos and more with your free account! Please enter a valid email address. By entering your email, you are agreeing to Fox News Terms of Service and Priv...","Join Fox News for access to this content Plus get unlimited access to thousands of articles, videos and more with your free account! Please enter a valid email address. By entering your email, you are agreeing to Fox News Terms of Service and Pr..."
74,6443,1.0,Travis Kelce makes 100k donation to young sisters shot at Super Bowl victory parade,"Travis Kelce makes $100,000 donation to young sisters shot at Super Bowl victory parade","Travis Kelce has donated $100,000 to two children who were shot at the Kansas City Chiefs' Super Bowl victory parade. The 34-year-old tight end has handed over two separate $50,000 donations to the Reyes family to help their daughters, aged eight an...","Travis Kelce has donated $100,000 to two children who were shot at the Kansas City Chiefs’ Super Bowl victory parade. The 34-year-old tight end has handed over two separate $50,000 donations to the Reyes family to help their daughters, aged eight an..."
76,837,0.9613,"Taylor Swift Donates $100,000 to Family of Woman Killed in Shooting at Chiefs Parade","Taylor Swift Donates $100,000 to Family of Woman Killed in Shooting at Chiefs Parade","Pop star Taylor Swift donated $100,000 to the family of Lisa Lopez-Galvan, who was shot and killed on Wednesday at the Kansas City Chiefs’ Super Bowl victory parade. “Sending my deepest sympathies and condolences in the wake of your devastating loss...","Pop star Taylor Swift donated $100,000 to the family of Lisa Lopez-Galvan, who was shot and killed on Wednesday at the Kansas City Chiefs’ Super Bowl victory parade. “Sending my deepest sympathies and condolences in the wake of your devastating los..."
77,362,1.0,Chiefs kicker Butker provides jersey for parade shooting victim’s funeral,Chiefs kicker Butker provides jersey for parade shooting victim’s funeral,"KANSAS CITY, Mo. -- Another Kansas City Chiefs player is giving back to the family of Lisa Lopez-Galvan, the woman killed in a shooting after the Super Bowl parade. Lopez-Galvan was wearing Harrison Butker jersey the day she was shot and killed, and...","KANSAS CITY, Mo. — Another Kansas City Chiefs player is giving back to the family of Lisa Lopez-Galvan, the woman killed in a shooting after the Super Bowl parade. Lopez-Galvan was wearing Harrison Butker jersey the day she was shot and killed, and ..."
78,1201,1.0,"Taylor Swift donates $100,000","Taylor Swift donates $100,000","Taylor Swift donated $100,000 to the family of Lisa Lopez-Galvan at the Kansas City Chiefs' Super Bowl victory parade. The donations were confirmed by Swift's representative to Variety and verified by The Associated Press. The GoFundMe has raised ove...","Taylor Swift donated $100,000 to the family of Lisa Lopez-Galvan at the Kansas City Chiefs’ Super Bowl victory parade. The donations were confirmed by Swift’s representative to Variety and verified by The Associated Press. The GoFundMe has raised ove..."
79,3492,0.9883,Acusaron de asesinato a dos hombres por un tiroteo en celebración del Super Bowl en Kansas,Acusaron de asesinato a dos hombres por un tiroteo en celebración del Super Bowl en Kansas,"Dos hombres fueron acusados de asesinato el martes en relación con un tiroteo en Kansas City (Misuri) en el que murió una mujer y 22 personas resultaron heridas cerca de una concentración para celebrar la victoria de los Chiefs en el Super Bowl, in...","Dos hombres fueron acusados de asesinato el martes en relación con un tiroteo en Kansas City (Misuri) en el que murió una mujer y 22 personas resultaron heridas cerca de una concentración para celebrar la victoria de los Chiefs en el Super Bowl, info..."
79,5500,1.0,Acusaron de asesinato a dos hombres por un tiroteo en celebración del Super Bowl en Kansas,Acusaron de asesinato a dos hombres por un tiroteo en celebración del Super Bowl en Kansas,"Dos hombres fueron acusados de asesinato el martes en relación con un tiroteo en Kansas City (Misuri) en el que murió una mujer y 22 personas resultaron heridas cerca de una concentración para celebrar la victoria de los Chiefs en el Super Bowl, in...","Dos hombres fueron acusados de asesinato el martes en relación con un tiroteo en Kansas City (Misuri) en el que murió una mujer y 22 personas resultaron heridas cerca de una concentración para celebrar la victoria de los Chiefs en el Super Bowl, inf..."
83,3211,1.0,Alexei Navalny has died in prison; Israeli troops raid Gaza's Nassar Hospital,Alexei Navalny has died; Israel raids Gaza's Nassar Hospital : NPR - Meta Jaun News,"Good morning. You're reading the Up First newsletter. Subscribe here to get it delivered to your inbox, and listen to the Up First podcast for all the news you need to start your day. Today's top stories Russian opposition leader Alexei Navalny has...","Good morning. You’re reading the Up First newsletter. Subscribe here to get it delivered to your inbox, and listen to the Up First podcast for all the news you need to start your day. Today’s top stories Russian opposition leader Alexei Navalny has..."
83,8024,1.0,Alexei Navalny has died in prison; Israeli troops raid Gaza's Nassar Hospital,Alexei Navalny has died in prison; Israeli troops raid Gaza's Nasser Hospital,"Good morning. You're reading the Up First newsletter. Subscribe here to get it delivered to your inbox, and listen to the Up First podcast for all the news you need to start your day. Today's top stories Russian opposition leader Alexei Navalny has...","Good morning. You’re reading the Up First newsletter. Subscribe here to get it delivered to your inbox, and listen to the Up First podcast for all the news you need to start your day.Today’s top stories Russian opposition leader Alexei Navalny has ..."
84,5592,0.9817,Taylor Swift dona 100 mil dólares a familia de víctima en tiroteo del desfile de los Chiefs,Swift dona 100.000 dólares a familia de la víctima del tiroteo,"Taylor Swift donó 100.000 dólares la familia de Lisa Lopez-Galvan, la mujer que falleció en el tiroteo al final del desfile por la celebración del triunfo de los Chiefs de Kansas City en el Super Bowl. Dos donativos de 50,000 dólares aparecieron en...","Taylor Swift donó 100.000 dólares a la familia de Lisa Lopez-Galvan, la mujer que falleció en el tiroteo al final del desfile por la celebración del triunfo de los Chiefs de Kansas City en el Super Bowl. Dos donativos de 50.000 dólares aparecieron e..."
84,6262,1.0,Taylor Swift dona 100 mil dólares a familia de víctima en tiroteo del desfile de los Chiefs,¡REGISTRO DE GOFUNDME! Taylor Swift dona 100 mil dólares a familia de la víctima mortal del tiroteo,"Taylor Swift donó 100.000 dólares la familia de Lisa Lopez-Galvan, la mujer que falleció en el tiroteo al final del desfile por la celebración del triunfo de los Chiefs de Kansas City en el Super Bowl. Dos donativos de 50,000 dólares aparecieron en...","Taylor Swift donó 100.000 dólares la familia de Lisa Lopez-Galvan, la mujer que falleció en el tiroteo al final del desfile por la celebración del triunfo de los Chiefs de Kansas City en el Super Bowl. Dos donativos de 50.000 dólares aparecieron en ..."
85,3008,0.9782,"Biden Called for an 'Assault Weapons' Ban After the Kansas City Shooting; However, the Court Documents from the Shooting Will Make Him Eat His Words","Biden, Harris call for gun control in separate comments after deadly shooting at Kansas City Chiefs’ parade – Scoop Rocket","President Biden and Vice President Harris called on Congress to pass stronger gun control measures in separate comments Wednesday night hours after a deadly shooting following the Super Bowl victory parade in Kansas City, Missouri. Biden issued a st...","President Biden and Vice President Harris called on Congress to pass stronger gun control measures in separate comments Wednesday night hours after a deadly shooting following the Super Bowl victory parade in Kansas City, Missouri.Biden issued a stat..."
86,1146,1.0,2 adults are charged with murder in the deadly shooting at Kansas City’s Super Bowl celebration,2 adults are charged with murder in the deadly shooting at Kansas City's Super Bowl celebration,"KANSAS CITY, Mo. (AP) — Missouri prosecutors said Tuesday that two men have been charged with murder in last week’s shooting that killed one person and injured 22 others after the Kansas City Chiefs’ Super Bowl parade. Both adults are charged with s...","KANSAS CITY, Mo. — (AP) — Missouri prosecutors said Tuesday that two men have been charged with murder in last week’s shooting that killed one person and injured 22 others after the Kansas City Chiefs’ Super Bowl parade. Both adults are charged with..."
86,1751,1.0,2 adults are charged with murder in the deadly shooting at Kansas City’s Super Bowl celebration,2 adults are charged with murder in the deadly shooting at Kansas City's Super Bowl celebration,"KANSAS CITY, Mo. (AP) — Missouri prosecutors said Tuesday that two men have been charged with murder in last week’s shooting that killed one person and injured 22 others after the Kansas City Chiefs’ Super Bowl parade. Both adults are charged with s...","KANSAS CITY, Mo. (AP) — Missouri prosecutors said Tuesday that two men have been charged with murder in last week's shooting that killed one person and injured 22 others after the Kansas City Chiefs' Super Bowl parade. Both adults are charged with s..."
86,5103,1.0,2 adults are charged with murder in the deadly shooting at Kansas City’s Super Bowl celebration,2 Adults are Charged with Murder in the Deadly Shooting at Kansas City’s Super Bowl Celebration,"KANSAS CITY, Mo. (AP) — Missouri prosecutors said Tuesday that two men have been charged with murder in last week’s shooting that killed one person and injured 22 others after the Kansas City Chiefs’ Super Bowl parade. Both adults are charged with s...","KANSAS CITY, Mo. (AP) – Missouri prosecutors said Tuesday that two men have been charged with murder in last week’s shooting that killed one person and injured 22 others after the Kansas City Chiefs’ Super Bowl parade. Both adults are charged with s..."
89,983,1.0,"In the chaos of the Kansas City parade shooting, he's hit and doesn't know where his kids are","In the chaos of the Kansas City parade shooting, he's hit and doesn't know where his kids are","KANSAS CITY, Mo. (AP) — Jacob Gooch was having what was sure to be the best day of his year, hanging out with his wife and children and friends in the massive, happy, high-fiving crowd of fellow Kansas City Chiefs fans at the parade celebrating their...","KANSAS CITY, Mo. — (AP) — Jacob Gooch was having what was sure to be the best day of his year, hanging out with his wife and children and friends in the massive, happy, high-fiving crowd of fellow Kansas City Chiefs fans at the parade celebrating the..."
90,407,1.0,Kansas City Chiefs parade mass shooting: 2 adults arrested for murder,Kansas City Chiefs parade mass shooting: 2 adults arrested for murder,"Two adults have been arrested in connection with the mass shooting that erupted following a dispute at the Chiefs’ Super Bowl parade last week, prosecutors announced Tuesday. Dominic Miller and Lyndell Mays each face charges of second-degree murder,...","Two adults have been arrested in connection with the mass shooting that erupted following a dispute at the Chiefs' Super Bowl parade last week, prosecutors announced Tuesday. Dominic Miller and Lyndell Mays each face charges of second-degree murder,..."
91,5942,0.9615,Chiefs' Harrison Butker helps Lopez-Galvan family with burial wish,"Lisa Lopez-Galvan's family hoped to lay her to rest in Harrison Butker jersey, Chiefs kicker delivered","The family of Lisa Lopez-Galvan hoped to lay her to rest in a Harrison Butker jersey, and the Kansas City Chiefs kicker delivered. On the day Lopez-Galvan was tragically killed as the Chiefs Super Bowl rally was ending, her family says she was weari...","KANSAS CITY, Mo. — The family of Lisa Lopez-Galvan hoped to lay her to rest in a Harrison Butker jersey, and the Kansas City Chiefs kicker delivered. On the day Lopez-Galvan was tragically killed as the Chiefs Super Bowl rally was ending, her family..."
94,766,1.0,At Least 8 Children Among 22 Hit by Gunfire at End of Chiefs’ Super Bowl Parade; 1 Person Killed,"Kansas City Chiefs Super Bowl victory parade: 1 dead, 22 injured in ...","KANSAS CITY, Mo. (AP) — Eight children were among 22 people hit by gunfire in a shooting at the end of Wednesday’s parade to celebrate the Kansas City Chiefs’ Super Bowl win, authorities said, as terrified fans ran for cover and yet another high-prof...","KANSAS CITY, Mo. (AP) - Eight children were among 22 people hit by gunfire in a shooting at the end of Wednesday's parade to celebrate the Kansas City Chiefs' Super Bowl win, authorities said, as terrified fans ran for cover and yet another high-prof..."
94,1666,1.0,At Least 8 Children Among 22 Hit by Gunfire at End of Chiefs’ Super Bowl Parade; 1 Person Killed,At least 8 children among 22 hit by gunfire at end of Chiefs' Super Bowl parade; 1 person killed,"KANSAS CITY, Mo. (AP) — Eight children were among 22 people hit by gunfire in a shooting at the end of Wednesday’s parade to celebrate the Kansas City Chiefs’ Super Bowl win, authorities said, as terrified fans ran for cover and yet another high-prof...","KANSAS CITY, Mo. (AP) — Eight children were among 22 people hit by gunfire in a shooting at the end of Wednesday's parade to celebrate the Kansas City Chiefs' Super Bowl win, authorities said, as terrified fans ran for cover and yet another high-prof..."
